iter	Passed	Remaining
447	1112	1370
448	1114	1367
449	1115	1363
450	1117	1360
451	1120	1358
452	1123	1356
453	1126	1355
454	1128	1352
455	1131	1349
456	1133	1346
457	1135	1344
458	1138	1341
459	1140	1338
460	1141	1335
461	1143	1331
462	1145	1328
463	1146	1324
464	1148	1321
465	1150	1318
466	1153	1315
467	1154	1312
468	1156	1309
469	1158	1306
470	1160	1303
471	1162	1300
472	1164	1297
473	1166	1294
474	1168	1291
475	1169	1287
476	1171	1284
477	1173	1282
478	1175	1278
479	1177	1275
480	1179	1272
481	1181	1269
482	1183	1266
483	1185	1263
484	1187	1261
485	1189	1258
486	1191	1255
487	1193	1251
488	1194	1248
489	1196	1245
490	1198	1242
491	1199	1238
492	1201	1235
493	1202	1231
494	1204	1228
495	1205	1224
496	1206	1221
497	1208	1217
498	1209	1214
499	1211	1211
500	1212	1207
501	1214	1204
502	1215	1201
503	1217	1197
504	1218	1194
505	1220	1191
506	1221	1187
507	1224	1185
508	1226	1182
509	1227	1179
510	1229	1176
511	1230	1173
512	1232	1170
513	1234	1167
514	1236	1164
515	1238	1161
516	1240	1158
517	1243	1156
518	1244	1153
519	1246	1150
520	1248	1147
521	1250	1144
522	1252	1142
523	1254	1139
524	1256	1137
525	1258	1134
526	1259	1130
527	1261	1127
528	1262	1124
529	1264	1121
530	1265	1117
531	1267	1114
532	1268	1111
533	1270	1108
534	1272	1105
535	1274	1102
536	1275	1099
537	1277	1097
538	1279	1094
539	1281	1091
540	1282	1088
541	1284	1085
542	1286	1082
543	1287	1079
544	1289	1076
545	1290	1073
546	1292	1070
547	1294	1067
548	1296	1064
549	1297	1061
550	1299	1058
551	1300	1055
552	1302	1052
553	1303	1049
554	1305	1046
555	1307	1043
556	1309	1041
557	1311	1038
558	1312	1035
559	1314	1032
560	1315	1029
561	1317	1026
562	1319	1023
563	1320	1021
564	1322	1018
565	1324	1015
566	1326	1012
567	1328	1010
568	1329	1007
569	1331	1004
570	1332	1001
571	1334	998
572	1336	996
573	1338	993
574	1339	990
575	1341	987
576	1343	985
577	1345	982
578	1347	979
579	1351	978
580	1353	975
581	1355	973
582	1357	971
583	1359	968
584	1361	965
585	1363	963
586	1365	960
587	1367	958
588	1368	955
589	1370	952
590	1371	949
591	1373	946
592	1375	944
593	1377	941
594	1379	939
595	1381	936
